timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,152.3114487509874,1.0,4.5852146,95.0,5.562904,-2.0,-0.009029346,2.0,1.0305316,-0.013680368,0.18126881,0.18175068,-0.00048188324,2.302427,0.019187358916478554,0.014672686230248307
16384,628.0898309836879,1.0,4.7637267,95.0,5.9792733,-2.0,-0.0064252336,2.0,1.029906,-0.010612789,0.14126714,0.14277585,-0.0015087163,2.3014534,0.017815420560747662,0.015771028037383176
24576,615.1835027583563,1.0,4.717554,95.0,5.7671957,-2.0,0.0055758506,2.0,1.0334567,0.0025601466,0.13633434,0.1393511,-0.0030167624,2.2991433,0.01788117669678908,0.01826571813112863
32768,617.9375391316962,1.0,4.6836224,100.0,5.798442,-2.0,-0.002292592,2.0,1.0323583,-0.0005366821,0.12627059,0.13492446,-0.008653874,2.297647,0.01762430147585614,0.01776758847972489
40960,621.3471771599429,1.0,4.73584,100.0,6.002363,-2.0,0.02368164,2.0,1.0336977,0.020072043,0.09410869,0.11315222,-0.019043535,2.2920156,0.0166015625,0.02001953125
49152,606.5547561325033,1.0,4.744751,100.0,6.1521964,-2.0,0.06213379,2.0,1.0316863,0.053144835,0.08899291,0.11409682,-0.025103915,2.2761655,0.015625,0.021240234375
57344,597.6381003799622,1.0,4.765991,100.0,6.251703,-2.0,0.110839844,2.0,1.0271792,0.09531635,0.07598911,0.10259077,-0.026601665,2.247502,0.01416015625,0.0223388671875
65536,604.2235825758177,1.0,4.7894287,100.0,6.519837,-2.0,0.18200684,2.0,1.0190824,0.15417634,0.074412465,0.10278548,-0.02837302,2.2010646,0.012939453125,0.024169921875
73728,619.379422303154,1.0,4.8602295,100.0,6.9246693,-2.0,0.2713623,2.0,0.9985194,0.23090759,0.062308706,0.088796474,-0.026487768,2.138243,0.0103759765625,0.027099609375
81920,620.6489484734078,1.0,4.9057617,100.0,7.351635,-2.0,0.359375,2.0,0.97302485,0.3109087,0.05427237,0.07681826,-0.022545893,2.0622287,0.0086669921875,0.0301513671875
90112,603.8295203358625,1.0,4.969116,100.0,7.914932,-2.0,0.45922852,2.0,0.9351782,0.39981592,0.047886435,0.070010886,-0.022124454,1.98309,0.0064697265625,0.03564453125
98304,603.5551030770531,1.0,5.1933594,100.0,9.181756,-2.0,0.53796387,2.0,0.89460415,0.46962208,0.032962747,0.04858252,-0.015619771,1.8884397,0.0048828125,0.0391845703125
106496,604.1678362191916,1.0,5.409546,100.0,10.336566,-2.0,0.6014404,2.0,0.8547963,0.529394,0.030574117,0.04722412,-0.016650006,1.8609207,0.00390625,0.04150390625
114688,617.8831336724811,1.0,5.569092,100.0,11.486092,-2.0,0.6861572,2.0,0.79181224,0.60538983,0.029002722,0.04077425,-0.011771528,1.7631207,0.0023193359375,0.044921875
122880,620.8152513281094,1.0,5.8027344,100.0,12.562847,-2.0,0.7562256,2.0,0.7308913,0.66654694,0.025070084,0.032505326,-0.0074352412,1.6901615,0.00146484375,0.0482177734375
131072,620.7500764561795,1.0,6.053955,100.0,13.736153,-2.0,0.8022461,2.0,0.68337166,0.70867324,0.029004497,0.025481574,0.0035229225,1.6442258,0.001220703125,0.0506591796875
139264,606.2813122243724,1.0,6.2110596,100.0,14.757033,-2.0,0.8502197,2.0,0.6192332,0.7534921,0.024240257,0.024687048,-0.00044679083,1.5762495,0.0006103515625,0.0504150390625
147456,605.7176936351067,1.0,6.5098877,100.0,15.810782,-2.0,0.8775635,2.0,0.57962185,0.7778245,0.023480054,0.01984729,0.0036327643,1.6234516,0.0003662109375,0.05126953125
155648,609.4007299491577,1.0,6.7871094,100.0,16.767796,-2.0,0.8964844,2.0,0.54868215,0.7961057,0.022673123,0.017709611,0.0049635125,1.586997,0.000244140625,0.05126953125
163840,606.5992921094778,1.0,7.093506,100.0,17.781025,-1.0,0.9161377,2.0,0.51222676,0.8132037,0.022396117,0.016490826,0.005905289,1.5902327,0.0418701171875,0.0509033203125
