timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,73.00271944849365,1.0,15.185111,100.0,27.248205,-1.0,-0.0020120724,1.0,0.9269039,0.018334633,0.08364391,0.08475001,-0.001106106,2.302297,0.4305835010060362,0.42857142857142855
16384,677.8568954679299,1.0,16.905983,100.0,28.999222,-1.0,0.035256412,1.0,0.9267144,0.019292489,0.046967708,0.04792594,-0.0009582385,2.302082,0.41239316239316237,0.44764957264957267
24576,670.9825277826669,1.0,17.910038,100.0,29.844706,-1.0,0.03197026,1.0,0.9245214,0.02439247,0.026052386,0.027947843,-0.0018954577,2.3020184,0.41189591078066917,0.44386617100371745
32768,674.5842645111376,1.0,17.602942,100.0,29.61295,-1.0,0.029956426,1.0,0.9274771,0.015967011,0.02373574,0.030586213,-0.0068504745,2.300909,0.4155773420479303,0.4455337690631808
40960,677.5808170756084,1.0,17.712341,100.0,29.836933,-1.0,0.019323671,1.0,0.92758197,0.011469886,0.017205141,0.027757883,-0.010552741,2.2983406,0.4207290294246816,0.4400527009222661
49152,671.350781500464,1.0,17.726677,100.0,29.892208,-1.0,0.035714287,1.0,0.92670536,0.017003361,0.014262987,0.027841114,-0.013578124,2.292111,0.41217201166180756,0.4478862973760933
57344,671.1666631245882,1.0,17.913332,100.0,30.055065,-1.0,0.044437442,1.0,0.92667407,0.024831602,0.014171335,0.026290845,-0.012119511,2.284955,0.40813110620863535,0.45256854711629374
65536,672.4166629092458,1.0,17.980658,100.0,30.161766,-1.0,0.068250895,1.0,0.92554283,0.03572589,0.01196325,0.025564939,-0.013601687,2.2731404,0.3965183752417795,0.4647692732799116
73728,666.3848738635928,1.0,17.75685,100.0,29.96903,-1.0,0.09721212,1.0,0.9237628,0.051179506,0.014113689,0.027677303,-0.013563613,2.2534423,0.3827878787878788,0.48
81920,675.1306153473369,1.0,17.851143,100.0,29.96672,-1.0,0.116754614,1.0,0.92257476,0.061019246,0.011798473,0.024751414,-0.012952941,2.2349734,0.3740105540897098,0.49076517150395776
90112,682.2358677318047,1.0,18.237747,100.0,30.491455,-1.0,0.13910921,1.0,0.91790867,0.074495584,0.008532477,0.01847793,-0.009945454,2.2267308,0.36139922717103923,0.5005084401057556
98304,671.0587044906043,1.0,18.234789,100.0,30.577711,-1.0,0.16909294,1.0,0.9126462,0.09137159,0.011398451,0.021784745,-0.010386294,2.1840546,0.34621127286300857,0.5153042179917879
106496,673.4526825229917,1.0,18.26782,100.0,30.658226,-1.0,0.19359861,1.0,0.9077105,0.10597946,0.010420052,0.020962024,-0.010541972,2.150785,0.33391003460207613,0.5275086505190312
114688,671.5846944917243,1.0,18.477676,100.0,31.03393,-1.0,0.21999353,1.0,0.90048414,0.124668516,0.014470161,0.017969988,-0.0034998255,2.1162224,0.31963765771594954,0.5396311873180201
122880,676.5816105214519,1.0,18.69925,100.0,31.362984,-1.0,0.2436035,1.0,0.8928045,0.13838585,0.011962701,0.014445003,-0.002482302,2.1059518,0.3064194882794546,0.550022981461621
131072,674.6794898111822,1.0,18.870426,100.0,31.670822,-1.0,0.2681128,1.0,0.8840941,0.15389034,0.011758783,0.015668157,-0.0039093746,2.079681,0.29269703543022413,0.5608098336948663
139264,673.7759004291256,1.0,19.069061,100.0,31.988096,-1.0,0.28931078,1.0,0.8761981,0.16936807,0.01091207,0.0140306465,-0.0031185765,2.0587556,0.28105654147750725,0.5703673132480396
147456,670.9657169838807,1.0,19.146664,100.0,32.17748,-1.0,0.3104349,1.0,0.86846095,0.18506205,0.013847824,0.01645885,-0.0026110252,2.0240016,0.2700796656654042,0.5805145618388403
155648,665.5384780533819,1.0,19.501259,100.0,32.57659,-1.0,0.31969276,1.0,0.8630252,0.19413038,0.013470081,0.013943588,-0.0004735074,2.006977,0.2636615462100227,0.5833543188113826
163840,669.7765059637853,1.0,19.836304,100.0,33.003246,-1.0,0.34155273,1.0,0.8524103,0.20945035,0.014740031,0.015219664,-0.0004796338,1.9515364,0.2508544921875,0.5924072265625
172032,672.802248931091,1.0,19.9469,100.0,33.224674,-1.0,0.37841797,1.0,0.83655083,0.23343879,0.015714683,0.016710814,-0.0009961298,1.9133043,0.2322998046875,0.6107177734375
180224,665.2282004307559,1.0,20.054321,100.0,33.459152,-1.0,0.41027832,1.0,0.82027936,0.25434586,0.01602236,0.014846483,0.001175875,1.9033548,0.2154541015625,0.625732421875
188416,668.0874528468315,1.0,20.205444,100.0,33.782993,-1.0,0.4423828,1.0,0.80212766,0.27722147,0.019448739,0.01481916,0.0046295784,1.9615071,0.1983642578125,0.6407470703125
196608,666.2599599787237,1.0,20.550415,100.0,34.204964,-1.0,0.46936035,1.0,0.7842372,0.29588005,0.015199525,0.013524366,0.0016751599,1.9257824,0.1829833984375,0.65234375
204800,665.7606820913508,1.0,20.749634,100.0,34.5029,-1.0,0.5020752,1.0,0.76194626,0.31977654,0.017278126,0.014132282,0.0031458428,1.90151,0.165283203125,0.6673583984375
212992,668.2846117466346,1.0,20.926758,100.0,34.785965,-1.0,0.53430176,1.0,0.7380528,0.342965,0.017658444,0.014146054,0.003512389,1.8745418,0.14794921875,0.6822509765625
221184,681.7387440177515,1.0,21.07837,100.0,35.10369,-1.0,0.56726074,1.0,0.71149015,0.36960775,0.022962581,0.015265321,0.007697261,1.8735282,0.13037109375,0.6976318359375
229376,676.0327633628061,1.0,21.28003,100.0,35.434742,-1.0,0.592041,1.0,0.68844044,0.38725287,0.015869427,0.013320934,0.0025484941,1.8804018,0.1162109375,0.708251953125
237568,679.3027771417778,1.0,21.509644,100.0,35.779396,-1.0,0.6156006,1.0,0.6649834,0.40531984,0.018337412,0.014188574,0.004148837,1.8218371,0.102783203125,0.7183837890625
245760,674.7675464660332,1.0,21.828491,100.0,36.141182,-1.0,0.6341553,1.0,0.64447814,0.42112803,0.016446734,0.01325945,0.0031872825,1.8189874,0.0916748046875,0.725830078125
253952,660.566689944322,1.0,22.224121,100.0,36.562336,-1.0,0.65075684,1.0,0.6240046,0.43361098,0.014703969,0.011649912,0.003054057,1.9001235,0.0810546875,0.7318115234375
262144,666.799245478694,1.0,22.463867,100.0,36.923622,-1.0,0.6717529,1.0,0.59788275,0.45001933,0.0147178145,0.013432254,0.0012855617,1.8312496,0.0684814453125,0.740234375
270336,670.8947880957991,1.0,22.529297,100.0,37.111065,-1.0,0.6850586,1.0,0.5797539,0.46402913,0.013574408,0.012088709,0.0014856998,1.9073908,0.0601806640625,0.7452392578125
278528,669.4094942705242,1.0,22.701782,100.0,37.337223,-1.0,0.70080566,1.0,0.55832595,0.47689155,0.016345637,0.013915175,0.002430464,1.8250008,0.051025390625,0.7518310546875
286720,663.7204613749998,1.0,22.878174,100.0,37.55584,-1.0,0.7114258,1.0,0.54146993,0.48672348,0.017339654,0.013460534,0.003879119,1.8498353,0.0439453125,0.75537109375
294912,662.2714527952405,1.0,22.948486,100.0,37.721256,-1.0,0.72424316,1.0,0.52292013,0.49934196,0.018582948,0.014814404,0.0037685442,1.8599219,0.036865234375,0.7611083984375
303104,671.7238388551174,1.0,22.926514,100.0,37.800232,-1.0,0.732666,1.0,0.509497,0.5100008,0.016484385,0.0149135245,0.001570859,1.8691756,0.0318603515625,0.7645263671875
311296,673.9959187627867,1.0,22.922363,100.0,37.851566,-1.0,0.7376709,1.0,0.5021019,0.5188652,0.014895335,0.013495807,0.001399528,1.8821507,0.029296875,0.7669677734375
319488,665.3673643575559,1.0,22.975586,100.0,37.938683,-1.0,0.7418213,1.0,0.4959494,0.5245662,0.01635005,0.01410944,0.0022406084,1.8555475,0.0272216796875,0.76904296875
327680,664.5764270354612,1.0,22.850464,100.0,37.895496,-1.0,0.74609375,1.0,0.48962316,0.52880204,0.018238878,0.014633415,0.0036054617,1.8383971,0.025146484375,0.771240234375
335872,673.4154614035438,1.0,22.789307,100.0,37.900097,-1.0,0.7513428,1.0,0.48089546,0.53423274,0.018194333,0.014870692,0.003323639,1.811324,0.022216796875,0.7735595703125
344064,671.6854561417238,1.0,22.495728,100.0,37.740555,-1.0,0.7590332,1.0,0.47061235,0.5401572,0.016353404,0.014132771,0.0022206341,1.8936695,0.019287109375,0.7783203125
352256,669.7285025113354,1.0,22.44629,100.0,37.787777,-1.0,0.76293945,1.0,0.46346346,0.5452472,0.01660572,0.015608784,0.0009969389,1.8213006,0.0169677734375,0.7799072265625
360448,668.7840649732949,1.0,22.389893,100.0,37.774216,-1.0,0.765625,1.0,0.45954505,0.5472235,0.017043844,0.014574517,0.0024693273,1.8499914,0.015869140625,0.781494140625
368640,662.3046818647473,1.0,22.212769,100.0,37.6476,-1.0,0.7701416,1.0,0.45395625,0.5495024,0.01899387,0.016166635,0.0028272336,1.8532296,0.0145263671875,0.78466796875
376832,668.1969004567868,1.0,21.996704,100.0,37.535053,-1.0,0.7739258,1.0,0.44870016,0.5538456,0.015948087,0.013888739,0.002059347,1.8866048,0.01318359375,0.787109375
385024,668.3520126370066,1.0,21.824463,100.0,37.484642,-1.0,0.7763672,1.0,0.44555977,0.5569994,0.019847943,0.015692487,0.0041554547,1.8728186,0.012451171875,0.788818359375
393216,678.144829667807,1.0,21.80066,100.0,37.44554,-1.0,0.7786865,1.0,0.44273636,0.55746627,0.018471096,0.015438011,0.003033086,1.8107102,0.0118408203125,0.79052734375
401408,677.686567299887,1.0,21.567139,100.0,37.26443,-1.0,0.78027344,1.0,0.44145703,0.5585787,0.017868932,0.016557539,0.0013113945,1.8495476,0.01171875,0.7919921875
409600,658.4800965497086,1.0,21.575195,100.0,37.259453,-1.0,0.78063965,1.0,0.44039354,0.5569099,0.013462471,0.012959282,0.0005031889,1.8570867,0.0113525390625,0.7919921875
417792,675.0100396327815,1.0,21.413086,100.0,37.143707,-1.0,0.7813721,1.0,0.4390927,0.5575185,0.017554728,0.014769377,0.00278535,1.8627285,0.010986328125,0.7923583984375
425984,670.8915787021074,1.0,21.14331,100.0,36.956062,-1.0,0.7838135,1.0,0.43779758,0.5610294,0.015158737,0.01335624,0.0018024979,1.8867424,0.0111083984375,0.794921875
434176,664.308065737689,1.0,21.064453,100.0,36.8954,-1.0,0.78686523,1.0,0.4341201,0.56318235,0.017726742,0.014617766,0.0031089766,1.7933835,0.0103759765625,0.7972412109375
442368,664.7339136166671,1.0,20.849731,100.0,36.74649,-1.0,0.7895508,1.0,0.43091947,0.56439173,0.01608447,0.014349559,0.0017349127,1.8791023,0.009765625,0.79931640625
450560,670.9747184525877,1.0,20.619629,100.0,36.583954,-1.0,0.7919922,1.0,0.42926893,0.5676946,0.016378492,0.015095714,0.0012827786,1.8748977,0.009765625,0.8017578125
