timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,66.14338935699254,1.0,15.972746,100.0,26.925497,-1.0,0.0524109,1.0,0.93800455,0.04484906,0.05517916,0.05604855,-0.00086938904,2.302021,0.41509433962264153,0.46750524109014674
16384,672.3891219840374,1.0,16.763103,100.0,28.53782,-1.0,0.044025157,1.0,0.93619895,0.038042616,0.042325903,0.042660117,-0.00033421465,2.301252,0.4171907756813417,0.4612159329140461
24576,668.437814071867,1.0,16.536922,100.0,28.301935,-1.0,0.035886817,1.0,0.9377203,0.033270124,0.04133101,0.043564755,-0.0022337462,2.2993832,0.422360248447205,0.4582470669427191
32768,677.2623626355215,1.0,17.049814,100.0,28.962646,-1.0,0.033386327,1.0,0.93421584,0.031263594,0.031516396,0.035236336,-0.0037199426,2.2987895,0.42024377318494965,0.45363010068892423
40960,669.6992886573848,1.0,17.109606,100.0,29.060743,-1.0,0.027507406,1.0,0.9335093,0.025774935,0.028660888,0.03667296,-0.008012074,2.2954657,0.42234447735928904,0.4498518831993229
49152,659.2689646944391,1.0,17.531845,100.0,29.440165,-1.0,0.04066211,1.0,0.9309374,0.039786965,0.019927058,0.028791279,-0.008864218,2.2888951,0.41381792011514934,0.45448002878733357
57344,664.8455069549445,1.0,17.834742,100.0,29.81395,-1.0,0.04225352,1.0,0.92931664,0.042698324,0.020208744,0.029893683,-0.009684939,2.2793596,0.41158059467918623,0.4538341158059468
65536,660.4817672196942,1.0,17.88507,100.0,29.934591,-1.0,0.069012925,1.0,0.92674756,0.06853524,0.015895693,0.025421537,-0.009525844,2.2564418,0.3973054715424801,0.4663183942810008
73728,629.5644732523484,1.0,17.704134,100.0,29.801031,-1.0,0.08750302,1.0,0.92638445,0.08720647,0.019626886,0.030801699,-0.011174813,2.2153816,0.38917089678510997,0.47667391829828376
81920,634.4823775055597,1.0,17.887228,100.0,30.034285,-1.0,0.10837547,1.0,0.9232555,0.10832538,0.013489479,0.02255687,-0.009067391,2.2015953,0.3778852495053858,0.48626071664102
90112,631.093229820521,1.0,18.15076,100.0,30.3491,-1.0,0.1254306,1.0,0.9204816,0.12621467,0.013336303,0.020368025,-0.007031722,2.1161814,0.36879432624113473,0.49422492401215806
98304,672.4336122923366,1.0,18.525,100.0,30.800306,-1.0,0.14791666,1.0,0.9153031,0.14817789,0.0084791295,0.014179236,-0.0057001067,2.0564508,0.35587121212121214,0.5037878787878788
106496,650.4915246423911,1.0,18.84082,100.0,31.265116,-1.0,0.17058824,1.0,0.90922654,0.17034763,0.010503778,0.011952765,-0.0014489872,1.9559653,0.342602495543672,0.5131907308377897
114688,649.728252644103,1.0,19.25359,100.0,31.734556,-1.0,0.18786958,1.0,0.90381193,0.18727337,0.007762553,0.011744598,-0.003982044,1.9412876,0.33215070113194795,0.5200202736948809
122880,638.0140300650618,1.0,19.645706,100.0,32.207947,-1.0,0.20408492,1.0,0.8974443,0.20290849,0.010718728,0.010173992,0.0005447368,1.8856468,0.3214860083628176,0.5255709231264072
131072,630.4029275577124,1.0,19.999386,100.0,32.636913,-1.0,0.22048451,1.0,0.8911077,0.21924531,0.009763077,0.009005235,0.000757842,1.84429,0.3111008892977614,0.5315854032505366
139264,647.9361477070325,1.0,20.359388,100.0,33.03152,-1.0,0.23332354,1.0,0.88590044,0.23169075,0.008908338,0.010032484,-0.0011241464,1.7719432,0.30296796943873056,0.5362915074933882
147456,670.989236614068,1.0,20.643782,100.0,33.34561,-1.0,0.24634215,1.0,0.88041705,0.2445171,0.01495707,0.01100673,0.0039503397,1.6014028,0.29473832301631964,0.5410804727068093
