timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,87.47304949843779,1.0,2.7995186,45.0,2.9392123,-2.0,0.03370014,2.0,1.0455081,0.028283944,0.27119434,0.2740243,-0.0028299913,1.6090539,0.02579092159559835,0.028541953232462173
16384,695.8792147012125,1.0,2.862069,64.0,3.191735,-2.0,0.004551024,2.0,1.0387117,0.0016966863,0.2249712,0.23395805,-0.008986864,1.6070905,0.02363031682128479,0.026605986346928057
24576,678.5150267242366,1.0,2.8613281,64.0,3.1598926,-2.0,0.026977539,2.0,1.0414411,0.022589797,0.19245642,0.21956733,-0.027110899,1.5977489,0.025634765625,0.0269775390625
32768,675.5743481129783,1.0,2.9136963,64.0,3.2281413,-2.0,0.053588867,2.0,1.0399418,0.05184061,0.15769297,0.19189113,-0.034198165,1.5743428,0.0242919921875,0.0272216796875
40960,690.248176804841,1.0,2.925293,68.0,3.3059392,-2.0,0.14807129,2.0,1.0325152,0.1390008,0.13610858,0.17458239,-0.038473822,1.5223467,0.0213623046875,0.03125
49152,667.9563941681909,1.0,2.9943848,68.0,3.513224,-2.0,0.256958,2.0,1.0139471,0.24221162,0.11794298,0.1560075,-0.0380645,1.4528073,0.0140380859375,0.0401611328125
57344,673.5980558824025,1.0,3.0646973,100.0,4.0234256,-2.0,0.37072754,2.0,0.9814627,0.35078448,0.098513916,0.13380738,-0.03529346,1.3687675,0.0101318359375,0.046875
65536,669.6676366656659,1.0,3.147461,100.0,4.597334,-2.0,0.48815918,2.0,0.93246377,0.46514305,0.080342256,0.11224744,-0.031905178,1.2837464,0.0059814453125,0.0545654296875
73728,665.9508938879217,1.0,3.347046,100.0,5.6961036,-2.0,0.58032227,2.0,0.87744826,0.5543675,0.05916451,0.082552955,-0.023388447,1.218123,0.004150390625,0.0552978515625
81920,672.5851551065408,1.0,3.5509033,100.0,7.2573266,-2.0,0.6828613,2.0,0.8032887,0.6507341,0.04770187,0.064158365,-0.016456496,1.1509181,0.001708984375,0.0594482421875
90112,663.9936345792585,1.0,3.8728027,100.0,8.798203,-2.0,0.7553711,2.0,0.7468818,0.7193718,0.037543077,0.04685195,-0.009308873,1.0991778,0.0010986328125,0.064697265625
98304,684.3796537797355,1.0,4.310547,100.0,10.598325,-2.0,0.79455566,2.0,0.70010096,0.7570195,0.031285435,0.03607099,-0.0047855545,1.0433791,0.0003662109375,0.0633544921875
106496,690.2062337868849,1.0,4.7683105,100.0,12.436304,-2.0,0.83032227,2.0,0.65923315,0.78883827,0.030182537,0.027971648,0.0022108853,1.0072169,0.0001220703125,0.0650634765625
114688,697.006726206695,1.0,5.1918945,100.0,14.011185,-2.0,0.85961914,2.0,0.6209401,0.8145069,0.02830381,0.025418228,0.0028855847,0.9780977,0.0001220703125,0.066162109375
122880,674.8596953456658,1.0,5.7335205,100.0,15.723243,-1.0,0.87646484,2.0,0.5983561,0.82667524,0.026315792,0.01936623,0.0069495603,0.94987893,0.0567626953125,0.068115234375
131072,669.9878447368174,1.0,6.250122,100.0,17.075289,-1.0,0.8874512,2.0,0.57327247,0.8336865,0.029725004,0.019373339,0.010351665,0.8984917,0.0482177734375,0.066162109375
139264,677.6665319606814,1.0,6.8616943,100.0,18.614923,-1.0,0.8952637,2.0,0.557939,0.839612,0.024162406,0.016195249,0.007967156,0.81399083,0.042236328125,0.0665283203125
147456,694.3730010201056,1.0,7.4484863,100.0,19.947397,-1.0,0.89538574,2.0,0.54791707,0.8387455,0.020064231,0.014180265,0.005883967,0.8759644,0.038330078125,0.06494140625
