timestep,fps,ep_len_min,ep_len_mean,ep_len_max,ep_len_std,return_min,return_mean,return_max,return_std,disc_return_mean,total_loss,value_loss,actor_loss,entropy,min_return_rate,max_return_rate
8192,71.43611949557483,1.0,15.185111,100.0,27.248205,-1.0,-0.0020120724,1.0,0.9269039,0.024064763,0.21896401,0.22002581,-0.0010617991,2.302283,0.4305835010060362,0.42857142857142855
16384,676.7581283485109,1.0,16.567398,100.0,28.719828,-1.0,0.010449321,1.0,0.92785496,0.013490685,0.121415414,0.122042835,-0.0006274206,2.3022547,0.42528735632183906,0.43573667711598746
24576,669.9667858512076,1.0,16.999298,100.0,29.008692,-1.0,-0.002805049,1.0,0.92948765,0.0076301363,0.04026147,0.040595304,-0.00033383354,2.3024,0.43338008415147267,0.4305750350631136
32768,677.6445733065842,1.0,16.714212,100.0,28.50289,-1.0,-0.017116183,1.0,0.93303674,-0.0041960236,0.030607529,0.031077981,-0.00047045082,2.302439,0.44398340248962653,0.42686721991701243
40960,677.7071652378232,1.0,16.992811,100.0,28.903841,-1.0,-0.025792811,1.0,0.93089485,-0.0034041186,0.022294063,0.025050718,-0.002756655,2.3022575,0.44651162790697674,0.42071881606765327
49152,668.8790919807639,1.0,17.409496,100.0,29.419645,-1.0,-0.0146376295,1.0,0.9295805,-0.003152536,0.02027927,0.026151739,-0.0058724694,2.3011353,0.4394858978936094,0.42484826847554447
57344,672.6579430985386,1.0,17.242874,100.0,29.239162,-1.0,-0.0078835655,1.0,0.9308725,0.0021981965,0.021496676,0.030990725,-0.009494049,2.298648,0.4372346876895088,0.42935112189205576
65536,670.937259780762,1.0,17.346945,100.0,29.406025,-1.0,-0.0053376034,1.0,0.9307334,0.004102014,0.01713575,0.02765185,-0.0105161,2.295733,0.4358153189218041,0.43047771550573793
73728,647.7932727362983,1.0,17.358294,100.0,29.448214,-1.0,0.013981042,1.0,0.929783,0.009372452,0.018184124,0.028837843,-0.010653719,2.2865806,0.4253554502369668,0.43933649289099524
81920,677.7979661408538,1.0,17.709103,100.0,29.795937,-1.0,0.026938953,1.0,0.92807364,0.013841703,0.017275956,0.02393657,-0.0066606123,2.2786255,0.41755376928090376,0.4444927221377363
90112,669.6163341637016,1.0,17.87837,100.0,29.937727,-1.0,0.043738768,1.0,0.92708194,0.022946728,0.018123934,0.026345877,-0.008221945,2.2588658,0.40882764130217697,0.45256640703015777
98304,662.2131982716489,1.0,18.005348,100.0,30.127644,-1.0,0.05938768,1.0,0.92536664,0.029331682,0.016571354,0.026235769,-0.009664414,2.2422109,0.400221320545924,0.4596090003688676
106496,669.3266245879865,1.0,18.099028,100.0,30.220098,-1.0,0.08366058,1.0,0.9236711,0.038657725,0.016875546,0.026616272,-0.009740725,2.217525,0.3882533720334642,0.4719139491207103
114688,666.3830257219794,1.0,18.237394,100.0,30.439407,-1.0,0.10629102,1.0,0.92086625,0.046087727,0.01772394,0.025628107,-0.007904166,2.184426,0.376500720345766,0.4827917400352169
122880,678.0564781537557,1.0,18.414171,100.0,30.641117,-1.0,0.1263728,1.0,0.9178575,0.055259775,0.02291534,0.026159089,-0.0032437511,2.1630795,0.36602978787422896,0.4924025876335189
131072,676.0036353375682,1.0,18.710674,100.0,31.000477,-1.0,0.14222094,1.0,0.91447216,0.06315243,0.020003268,0.023638478,-0.0036352116,2.1163692,0.3571325958913949,0.4993535411578796
139264,672.1861151192828,1.0,18.840467,100.0,31.219193,-1.0,0.16605517,1.0,0.90978295,0.07419304,0.01991873,0.023642726,-0.003723994,2.1131382,0.34461203967930426,0.5106672102187797
147456,673.5218957049284,1.0,19.019693,100.0,31.485401,-1.0,0.18450376,1.0,0.90500236,0.08517597,0.019841231,0.022000842,-0.0021596095,2.107335,0.334283493132936,0.5187872505830526
155648,665.1439162485287,1.0,19.198387,100.0,31.78539,-1.0,0.20396776,1.0,0.89909184,0.0972995,0.019297415,0.021276468,-0.001979053,2.069321,0.3230006199628022,0.5269683818970862
163840,668.7387026479374,1.0,19.528198,100.0,32.214954,-1.0,0.23083496,1.0,0.89093274,0.11013337,0.021828307,0.022124156,-0.00029584812,2.0375063,0.30810546875,0.5389404296875
172032,667.8589809300124,1.0,19.640625,100.0,32.450176,-1.0,0.26184082,1.0,0.88176453,0.12751395,0.023730593,0.024964398,-0.0012338046,1.9899526,0.2921142578125,0.553955078125
180224,660.370681955351,1.0,19.91394,100.0,32.78577,-1.0,0.2915039,1.0,0.8706566,0.14282548,0.022914592,0.020845018,0.0020695748,2.0056942,0.2757568359375,0.5672607421875
188416,671.500917956171,1.0,20.231445,100.0,33.191204,-1.0,0.31689453,1.0,0.85947025,0.15482524,0.024317376,0.020386657,0.003930719,1.9586525,0.2611083984375,0.5780029296875
196608,668.4068793286654,1.0,20.570068,100.0,33.63877,-1.0,0.34680176,1.0,0.8451766,0.17232169,0.024170427,0.021517374,0.0026530528,1.910834,0.243896484375,0.5906982421875
204800,665.2019019885681,1.0,20.825195,100.0,34.02041,-1.0,0.3812256,1.0,0.8281569,0.19444229,0.023003295,0.02153204,0.001471255,1.9382485,0.2249755859375,0.606201171875
212992,672.1023462399157,1.0,20.977417,100.0,34.288765,-1.0,0.41809082,1.0,0.80911547,0.21523239,0.025644474,0.021772798,0.003871675,1.9256642,0.2056884765625,0.623779296875
221184,678.8798067540876,1.0,21.06958,100.0,34.493027,-1.0,0.44909668,1.0,0.79140073,0.23489572,0.024729876,0.022344742,0.0023851322,1.8904121,0.189453125,0.6385498046875
229376,675.1861230352544,1.0,21.291382,100.0,34.819626,-1.0,0.48010254,1.0,0.7704533,0.25335065,0.02687145,0.02365132,0.0032201312,1.8397014,0.1719970703125,0.652099609375
237568,679.6049931647357,1.0,21.482788,100.0,35.135193,-1.0,0.5157471,1.0,0.74542624,0.27548575,0.026813429,0.020813964,0.0059994655,1.8814403,0.1529541015625,0.668701171875
245760,676.5416316193708,1.0,21.28479,100.0,35.205963,-1.0,0.56188965,1.0,0.7106045,0.30469975,0.030302133,0.025241736,0.005060401,1.8639619,0.12939453125,0.6912841796875
253952,665.4008146303155,1.0,21.396362,100.0,35.517826,-1.0,0.59143066,1.0,0.6849668,0.3264356,0.023398692,0.02131797,0.0020807232,1.8917983,0.11376953125,0.7052001953125
262144,666.4240878997566,1.0,21.103394,100.0,35.508003,-1.0,0.6251221,1.0,0.65455043,0.347101,0.02392169,0.022380536,0.0015411552,1.9003195,0.0970458984375,0.72216796875
270336,667.6475947287616,1.0,21.105103,100.0,35.683735,-1.0,0.6538086,1.0,0.6254101,0.36495507,0.026851803,0.022673802,0.004178002,1.8236637,0.0823974609375,0.7362060546875
278528,670.2499374025487,1.0,21.198853,100.0,35.91759,-1.0,0.6744385,1.0,0.6005702,0.38033587,0.026628861,0.021175036,0.005453825,1.8355916,0.070556640625,0.7449951171875
286720,665.7505945201954,1.0,20.997437,100.0,35.910675,-1.0,0.69677734,1.0,0.5743962,0.39996487,0.030367602,0.02461997,0.00574763,1.8460985,0.059326171875,0.756103515625
294912,664.2767928688763,1.0,20.710083,100.0,35.928925,-1.0,0.7188721,1.0,0.5459325,0.42046404,0.03296329,0.025332393,0.0076309005,1.7728859,0.0479736328125,0.766845703125
